draft_id,draft_slot,is_keeper,metadata,pick_no,picked_by,player_id,reactions,roster_id,round
1124840609828335617,4,,"{'first_name': 'Isiah', 'injury_status': '', 'last_name': 'Pacheco', 'news_updated': '1724363154780', 'number': '10', 'player_id': '8205', 'position': 'RB', 'sport': 'nfl', 'status': 'Active', 'team': 'KC', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '2'}",29,562432915037523968,8205,,2,4
1124840609828335617,3,,"{'first_name': 'Dalton', 'injury_status': '', 'last_name': 'Kincaid', 'news_updated': '1724537423633', 'number': '86', 'player_id': '10236', 'position': 'TE', 'sport': 'nfl', 'status': 'Active', 'team': 'BUF', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '1'}",30,808950455362256896,10236,,7,4
1124840609828335617,2,,"{'first_name': 'Davante', 'injury_status': 'Questionable', 'last_name': 'Adams', 'news_updated': '1724029838691', 'number': '17', 'player_id': '2133', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'LV', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '10'}",31,1128031061746831360,2133,,8,4
1124840609828335617,1,,"{'first_name': 'Nico', 'injury_status': '', 'last_name': 'Collins', 'news_updated': '1724518220748', 'number': '12', 'player_id': '7569', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'HOU', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '3'}",32,999440800352219136,7569,,3,4
1124840609828335617,1,,"{'first_name': 'Jalen', 'injury_status': '', 'last_name': 'Hurts', 'news_updated': '1723757711001', 'number': '1', 'player_id': '6904', 'position': 'QB', 'sport': 'nfl', 'status': 'Active', 'team': 'PHI', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '4'}",33,999440800352219136,6904,,3,5
1124840609828335617,2,,"{'first_name': 'DJ', 'injury_status': '', 'last_name': 'Moore', 'news_updated': '1724176825227', 'number': '2', 'player_id': '4983', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'CHI', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '6'}",34,1128031061746831360,4983,,8,5
1124840609828335617,3,,"{'first_name': 'Cooper', 'injury_status': '', 'last_name': 'Kupp', 'news_updated': '1724541924592', 'number': '10', 'player_id': '4039', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'LAR', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '7'}",35,808950455362256896,4039,,7,5
1124840609828335617,4,,"{'first_name': 'Jaylen', 'injury_status': 'Questionable', 'last_name': 'Waddle', 'news_updated': '1724256932951', 'number': '17', 'player_id': '7526', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'MIA', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '3'}",36,562432915037523968,7526,,2,5
1124840609828335617,5,,"{'first_name': 'Michael', 'injury_status': '', 'last_name': 'Pittman', 'news_updated': '1724425806845', 'number': '11', 'player_id': '6819', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'IND', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '4'}",37,,6819,,5,5
1124840609828335617,6,,"{'first_name': 'Deebo', 'injury_status': '', 'last_name': 'Samuel', 'news_updated': '1724513121181', 'number': '1', 'player_id': '5872', 'position': 'WR', 'sport': 'nfl', 'status': 'Active', 'team': 'SF', 'team_abbr': '', 'team_changed_at': '', 'years_exp': '5'}",38,999433102126546944,5872,,6,5
