draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,reactions,roster_id,round,metadata.first_name,metadata.injury_status,metadata.last_name,metadata.news_updated,metadata.number,metadata.player_id,metadata.position,metadata.sport,metadata.status,metadata.team,metadata.team_abbr,metadata.team_changed_at,metadata.years_exp
1124840609828335617,2,,66,1128031061746831360,11624,,8,9,Xavier,,Worthy,1723998635867,1,11624,WR,nfl,Active,KC,,,0
1124840609828335617,3,,67,808950455362256896,10229,,7,9,Rashee,,Rice,1723935325655,4,10229,WR,nfl,Active,KC,,,1
1124840609828335617,4,,68,562432915037523968,5937,,2,9,Diontae,,Johnson,1724597132419,5,5937,WR,nfl,Active,CAR,,,5
1124840609828335617,5,,69,,NYJ,,5,9,New York,,Jets,,,NYJ,DEF,nfl,,NYJ,,,
1124840609828335617,6,,70,999433102126546944,9502,,6,9,Tank,,Dell,1724543125100,3,9502,WR,nfl,Active,HOU,,,1
1124840609828335617,7,,71,974106566116847616,8137,,4,9,George,,Pickens,1724542524455,14,8137,WR,nfl,Active,PIT,,,2
1124840609828335617,8,,72,990112455994994688,7611,,1,9,Rhamondre,,Stevenson,1723812319430,38,7611,RB,nfl,Active,NE,,,3
1124840609828335617,8,,73,990112455994994688,5892,,1,10,David,,Montgomery,1722206159467,5,5892,RB,nfl,Active,DET,,,5
1124840609828335617,7,,74,974106566116847616,4217,,4,10,George,,Kittle,1724513121159,85,4217,TE,nfl,Active,SF,,,7
1124840609828335617,6,,75,999433102126546944,11635,,6,10,Ladd,,McConkey,1724605533951,15,11635,WR,nfl,Active,LAC,,,0
1124840609828335617,5,,76,,11620,,5,10,Rome,,Odunze,1724604933876,15,11620,WR,nfl,Active,CHI,,,0
1124840609828335617,4,,77,562432915037523968,9488,,2,10,Jaxon,,Smith-Njigba,1724567128239,11,9488,WR,nfl,Active,SEA,,,1
1124840609828335617,3,,78,808950455362256896,10222,,7,10,Jayden,,Reed,1723135532386,11,10222,WR,nfl,Active,GB,,,1
1124840609828335617,2,,79,1128031061746831360,4037,,8,10,Chris,,Godwin,1724512520545,14,4037,WR,nfl,Active,TB,,,7
1124840609828335617,1,,80,999440800352219136,1479,,3,10,Keenan,,Allen,1723919121434,13,1479,WR,nfl,Active,CHI,,,11
1124840609828335617,1,,81,999440800352219136,2749,,3,11,Raheem,,Mostert,1723995936083,31,2749,RB,nfl,Active,MIA,,,9
1124840609828335617,2,,82,1128031061746831360,8139,,8,11,Zamir,,White,1723997135897,3,8139,RB,nfl,Active,LV,,,2
1124840609828335617,3,,83,808950455362256896,7588,,7,11,Javonte,,Williams,1724082647407,33,7588,RB,nfl,Active,DEN,,,3
1124840609828335617,4,,84,562432915037523968,5849,,2,11,Kyler,,Murray,1724162122722,1,5849,QB,nfl,Active,ARI,,,5
1124840609828335617,5,,85,,6845,,5,11,Zack,,Moss,1724368555657,31,6845,RB,nfl,Active,CIN,,,4
1124840609828335617,6,,86,999433102126546944,11637,,6,11,Keon,,Coleman,1724346343517,0,11637,WR,nfl,Active,BUF,,,0
1124840609828335617,7,,87,974106566116847616,4981,,4,11,Calvin,,Ridley,1724621135037,0,4981,WR,nfl,Active,TEN,,,6
1124840609828335617,8,,88,990112455994994688,8167,,1,11,Christian,,Watson,1723133733684,9,8167,WR,nfl,Active,GB,,,2
1124840609828335617,8,,89,990112455994994688,11604,,1,12,Brock,Questionable,Bowers,1724605533871,89,11604,TE,nfl,Active,LV,,,0
1124840609828335617,7,,90,974106566116847616,11533,,4,12,Brandon,,Aubrey,1724082346135,17,11533,K,nfl,Active,DAL,,,1
1124840609828335617,6,,91,999433102126546944,11631,,6,12,Brian,,Thomas,1724510421135,7,11631,WR,nfl,Active,JAX,,,0
1124840609828335617,5,,92,,3163,,5,12,Jared,,Goff,1724516120509,16,3163,QB,nfl,Active,DET,,,8
1124840609828335617,4,,93,562432915037523968,8228,,2,12,Jaylen,Questionable,Warren,1724186126119,30,8228,RB,nfl,Active,PIT,,,2
1124840609828335617,3,,94,808950455362256896,8110,,7,12,Jake,,Ferguson,1718299242505,87,8110,TE,nfl,Active,DAL,,,2
1124840609828335617,2,,95,1128031061746831360,8134,,8,12,Khalil,,Shakir,1723953628885,10,8134,WR,nfl,Active,BUF,,,2
1124840609828335617,1,,96,999440800352219136,4033,,3,12,David,Questionable,Njoku,1724547625948,85,4033,TE,nfl,Active,CLE,,,7
1124840609828335617,1,,97,999440800352219136,7839,,3,13,Evan,,McPherson,1723831807358,2,7839,K,nfl,Active,CIN,,,3
1124840609828335617,2,,98,1128031061746831360,9508,,8,13,Tyjae,,Spears,1724621134981,2,9508,RB,nfl,Active,TEN,,,1
1124840609828335617,3,,99,808950455362256896,4227,,7,13,Harrison,,Butker,1722888906422,7,4227,K,nfl,Active,KC,,,7
1124840609828335617,4,,100,562432915037523968,5848,,2,13,Hollywood,Doubtful,Brown,1723833305467,5,5848,WR,nfl,Active,KC,,,5
1124840609828335617,5,,101,,4666,,5,13,Younghoe,,Koo,1723980331170,6,4666,K,nfl,Active,ATL,,,7
1124840609828335617,6,,102,999433102126546944,7528,,6,13,Najee,,Harris,1724599533465,22,7528,RB,nfl,Active,PIT,,,3
1124840609828335617,7,,103,974106566116847616,8183,,4,13,Brock,,Purdy,1724512520500,13,8183,QB,nfl,Active,SF,,,2
1124840609828335617,8,,104,990112455994994688,SF,,1,13,San Francisco,,49ers,,,SF,DEF,nfl,,SF,,,
1124840609828335617,8,,105,990112455994994688,8259,,1,14,Cameron,,Dicker,1712092558542,11,8259,K,nfl,Active,LAC,,,2
1124840609828335617,7,,106,974106566116847616,SEA,,4,14,Seattle,,Seahawks,,,SEA,DEF,nfl,,SEA,,,
1124840609828335617,6,,107,999433102126546944,7042,,6,14,Tyler,,Bass,1708214442222,2,7042,K,nfl,Active,BUF,,,4
1124840609828335617,5,,108,,5022,,5,14,Dallas,Questionable,Goedert,1724262032324,88,5022,TE,nfl,Active,PHI,,,6
1124840609828335617,4,,109,562432915037523968,CIN,,2,14,Cincinnati,,Bengals,,,CIN,DEF,nfl,,CIN,,,
1124840609828335617,3,,110,808950455362256896,BAL,,7,14,Baltimore,,Ravens,,,BAL,DEF,nfl,,BAL,,,
1124840609828335617,2,,111,1128031061746831360,8676,,8,14,Rashid,Questionable,Shaheed,1724633436644,22,8676,WR,nfl,Active,NO,,,2
1124840609828335617,1,,112,999440800352219136,3294,,3,14,Dak,,Prescott,1724528422451,4,3294,QB,nfl,Active,DAL,,,8
