player_id,full_name,team,position,adp
LAC,Los Angeles Chargers,LAC,DEF,262.0
12499,Elic Ayomanor,TEN,WR,263.0
7002,Juwan Johnson,NO,TE,263.5
12495,Ollie Gordon,MIA,RB,263.5
2374,Tyler Lockett,TEN,WR,264.5
CLE,Cleveland Browns,CLE,DEF,269.0
6945,Antonio Gibson,NE,RB,229.0
12467,Jordan James,SF,RB,267.5
2309,Amari Cooper,,WR,273.0
6828,A.J. Dillon,PHI,RB,233.0
12497,Tory Horton,SEA,WR,269.0
1166,Kirk Cousins,ATL,QB,235.0
TEN,Tennessee Titans,TEN,DEF,236.0
5096,Ray-Ray McCloud,ATL,WR,236.0
9757,Kendre Miller,NO,RB,271.0
6845,Zack Moss,,RB,241.0
11625,Adonai Mitchell,IND,WR,276.5
11562,Spencer Rattler,NO,QB,242.0
12531,Trevor Etienne,CAR,RB,273.5
8125,Calvin Austin,PIT,WR,274.5
9506,Sean Tucker,TB,RB,250.0
11579,Audric Estime,DEN,RB,251.0
1837,Jimmy Garoppolo,LAR,QB,252.0
11597,Theo Johnson,NYG,TE,279.0
8180,Jalen Nailor,MIN,WR,279.0
10226,Andrei Iosivas,CIN,WR,279.5
11627,Troy Franklin,DEN,WR,279.5
12542,Efton Chism,NE,WR,255.0
11646,Jalen Coker,CAR,WR,280.0
11439,Jaleel McLaughlin,DEN,RB,281.0
12510,Jalen Milroe,SEA,QB,282.5
3271,Tyler Higbee,LAR,TE,283.0
5133,Tyler Conklin,LAC,TE,284.0
7828,Noah Gray,KC,TE,284.0
6039,Ty Johnson,BUF,RB,264.0
12506,Harold Fannin,CLE,TE,284.5
9504,Kayshon Boutte,NE,WR,285.0
11630,Roman Wilson,PIT,WR,293.5
11650,Luke McCaffrey,WAS,WR,274.0
9486,Dontayvion Wicks,GB,WR,292.0
6130,Devin Singletary,NYG,RB,291.0
5937,Diontae Johnson,CLE,WR,298.0
12520,Xavier Restrepo,TEN,WR,278.0
IND,Indianapolis Colts,IND,DEF,284.0
10213,Tre Tucker,LV,WR,285.0
LV,Las Vegas Raiders,LV,DEF,287.0
12493,Oronde Gadsden,LAC,TE,304.0
JAX,Jacksonville Jaguars,JAX,DEF,289.0
